set,day_of_week,went_to_school,session_time,using_own_gun,MPI_x,MPI_y,target_type,shot,sighted_direction,sighted_times
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,paper,9,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,9.5,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,paper,9,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,9.6,L,1
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,9.5,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,9.5,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,9.3,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,8.6,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,10.4,0,0
1,Friday,TRUE,afternoon,TRUE,0.65,0.12,electronic,10.6,T,2
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,10,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,electronic,10.4,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,9,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,9,L,1
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,9,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,electronic,10.6,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,10,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,10,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,electronic,9.6,0,0
2,Friday,TRUE,evening,TRUE,-1.09,-1.19,paper,10,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,electronic,9.8,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,7,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,7,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,7,R,2
3,Friday,TRUE,evening,TRUE,-0.35,0.78,electronic,9.2,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,electronic,9.9,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,electronic,9.1,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,9,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,7,0,0
3,Friday,TRUE,evening,TRUE,-0.35,0.78,paper,7,0,0
4,Friday,TRUE,afternoon,TRUE,-0.28,0.75,paper,8,H,2
4,Friday,TRUE,afternoon,TRUE,-0.28,0.75,electronic,10.5,H,1
4,Friday,TRUE,afternoon,TRUE,-0.28,0.75,electronic,9.3,0,0
4,Friday,TRUE,afternoon,TRUE,-0.28,0.75,paper,9,0,0
